gene_name	Ctrl	As	Bs	Hyp	Li	Nd	Ns	Oss	Oxs	Sp	Tm	Vic
sRNA441095-Salmonella	0	0.29147557042984973	0.9564554046428766	0.9377713437527668	0.4137118314228432	2.167625047006133	-0.3797391695700334	2.3532574313614263	0.3039868663387666	1.9693224593123069	0.9771643102927201	-1.0308151579230533
sRNA458139-Salmonella	0	-0.035902852207846614	-0.21214955001674296	0.1954014675414899	-0.5783946102468831	0.13477394508062357	0.590206737588757	-0.503493470063773	0.0170911196200767	-0.12143180283846355	-0.3532428829760135	-0.7122089957678464
sRNA466560-Salmonella	0	-1.0066526080609268	-0.7982873325204043	-1.4744076224945406	-1.6319327826418308	-2.127516826432147	-2.781221670588557	-0.836424961331347	-2.321602482965004	-2.936237424429634	-1.1508650418308468	-1.4980673201299641
sRNA466762-Salmonella	0	-0.72329853295233	-0.7549638273873134	1.1076232393429732	-0.43861891437658684	0.3959666476544301	0.10277863335343307	-0.23684740274063687	-0.13085800770155354	0.9802970247154397	-0.6352001590297367	0.4353315335314232
sRNA501027-Salmonella	0	1.61457403535739	-0.5854825201484335	-0.3113140536254564	-1.024587946691847	-1.8775561093124402	-0.9613147159638435	-0.7231542786027099	-2.9400752036319266	-2.8959071074669334	-0.7974997691968202	1.2822763791537266
SraA-Salmonella	0	0.23619028104750672	0.10991488947084993	0.40149869017038675	0.33719688977791007	0	0.30860056535306013	0.18987949251058334	0	0	0	0
sRNA507874-Salmonella	0	0.626655104734497	-0.31186592735443686	-0.11264618247674996	0.007737352513969675	-0.15263310862212354	0.48691392650555976	-0.2645352591842265	-0.562313014222747	-0.41197020460123657	0.5902464691830334	-1.8949281024552769
sRNA523910-Salmonella	0	-0.51077737289555	-0.51077737289555	-0.51077737289555	-0.2699529094825066	-0.26848192961703	-0.51077737289555	-0.2789608543601001	0.0948152337248267	-0.09767722998493023	-0.24065969329884318	-0.51077737289555
STnc3130-Salmonella	0	0.5419033912372764	0.4485075522204931	0.6646310969797766	-0.0744322813847833	0.25951346074784665	-0.20736081799486028	0.41389673961965645	1.1438843831629533	-0.8327028696469565	-0.024879129469543404	-0.7619335156315667
sRNA546177-Salmonella	0	-0.7950392018315804	-0.6610695133400437	0.42143069052135296	-0.8742446506224004	-0.5481658537808007	-0.8205294268736272	-0.25835984099145026	-0.9984425594390904	-2.809129479371447	-1.3200249422163504	-0.18139876179471326
ChiX-Salmonella	0	0.06112823564218983	-0.018901670760596456	-0.18979517554916336	-0.28765194934063354	-0.6505533541445467	0.879269655159463	-0.5253610485643398	-0.6286211679892135	0.6935698486573498	-0.030437760414996795	-0.8227781891982566
sRNA561827-Salmonella	0	0	0	0.33986702136706004	0	0	0	0	0.22144836098777	0	0.45623988233501	0
STnc950-Salmonella	0	0	0	0	0	0	0	0	0	0	0.5500846059961599	0
STnc480-Salmonella	0	0	0	0.6622146697487965	0	0	0	0.10750902523848338	0	0	0.21590389010125977	0
STnc1870-Salmonella	0	-0.2180817515584832	0.2706918396963367	1.79334226549607	0.022742711854560227	0.6628538553371865	-0.2180817515584832	-0.028202259047899858	3.006815545546407	-0.2180817515584832	0.08479264750282356	0.37429371005369694
sRNA655601-Salmonella	0	0.6819409530193132	-0.30588124715132325	-0.30588124715132325	2.10985535235286	1.447267708935763	0.5398330301427601	0.11138316902739342	1.6301596020620135	-0.30588124715132325	0.004569139550883339	0.56647166091108
STnc3180-Salmonella	0	0.05095888920544356	0.3493265394663969	0.1315471466895466	-0.09394721691989982	-0.03243827713138003	0.3326429279118699	0.8610333480127901	0.039780365856239897	-0.3716552195550933	0.70783579593009	-0.3716552195550933
STnc070-Salmonella	0	-0.17099361412748948	-1.1067183637648101	1.5037296134064837	0.4834728248364275	0.45556236305256714	0.13302069455984	-0.7440166570992535	0.9405644262421573	-0.9229173288652861	-0.17659724874949667	1.4368547854653473
sRNA10-Salmonella	0	0.4272137345292899	0.9341050573619065	0.8608295519687532	0.5056719617669168	0.8599624700008599	1.0501108832552801	0.7233191580306664	0.6137436510388068	-0.6370197995873066	0.42524551498271324	-0.20575527136353644
sRNA692584-Salmonella	0	0.2471388128174703	-0.38739423625700953	0.8144911333596672	-0.514542392475333	-0.2583317422300766	-0.6907929240008297	-0.307248978488603	-0.39556734181996633	-0.6907929240008297	-1.7687108169628374e-4	-0.6907929240008297
sRNA697722-Salmonella	0	0.2539380658596033	0	0.33986702136706004	0.27770800263519346	0	0.6097092377899931	1.028028226553233	0.6055926066203767	0	0.4820548640486564	0
