As	Bs	Ctrl	Hyp	Li	Nd	Ns	Oss	Oxs	Sp	Tm	Vic	gene_name
5.987316783918417	6.775978820538096	6.107636490057787	6.2610263741808865	7.21267018987245	6.045048333194614	6.64984003444869	5.851630690039503	6.867574608519677	6.091846760942204	6.1864515901142	6.489868942917387	CjNC3-Campylobacter
3.522367376980277	3.9795060281735197	3.88224695439281	4.0816105871493	3.9858533249265	3.7334131923763767	3.537414838221607	3.76235284518876	3.76604484878463	3.8855840710650433	3.8522908646721565	4.19627594017281	CjNC9-Campylobacter
7.8825285112899	7.536425502532583	8.065939068542436	7.952147275599914	8.341224831931843	7.968096526392284	8.238776994177284	8.09208837633594	7.042809933126467	7.492136592961686	6.798432778833226	7.54588828971099	CjNC10-Campylobacter
14.1925103876152	15.6963155024897	14.208373241589067	14.333268248518234	14.404892837295566	14.033400290883867	14.4463741951024	13.701837467578766	13.849300737065066	15.265105074052567	13.228526304030733	13.7838465474433	6S_RNA-Campylobacter
8.23286988468224	8.052219174521264	8.394874588735254	7.93237457509413	7.875424540851263	7.943269032418697	8.091646197717543	8.35773818503059	8.408923809753986	8.099341120359608	7.56209036834025	8.03609824181961	SRP_RNA_Cjs03-Campylobacter
15.465303062030033	15.0121933066534	15.163278478126266	15.3044039375975	15.664834158934733	14.880092683250433	15.687545881346567	15.285223108332566	14.6624754715404	16.430328481417067	14.155211715919833	14.609471201062167	rnpB-Campylobacter
8.00150070387155	8.05390755307925	8.34725730698088	7.935638378844663	8.04635633002725	8.04333057181657	7.851961154702416	7.856784834460406	8.602374667185837	7.593194161269476	7.86017736464487	7.919536876835397	CjNC13-Campylobacter
1.3854631169849267	0.6698903169938266	1.2381083746948525	1.0851585100948393	0.45641049841026904	3.00301464540162	0.8232916077981987	0.788486032148402	1.2198329184408234	1.51528522475433	1.017429916087665	2.004472140276673	DapZ-Salmonella
1.5227531462600232	0.7192946642967493	2.107873168637003	1.6455138079235567	1.1744102238749712	0.9467401409506303	1.1892140360175008	1.0869469966647975	1.6193576841757233	0.6277621875829567	1.41226091657103	2.0903609902526	SroA-Salmonella
2.7260359985880434	1.7802812372643033	2.7327241640637965	2.7544493360878333	1.761225092993055	2.49759935691216	1.7379629936541534	2.9839411492505534	1.7349958777255001	3.003893031309153	2.18501102652524	2.8374612506827663	SgrS-Salmonella
3.96606807451992	3.44637845722699	2.1399939007847433	3.8919411171513065	1.7576174763815766	4.154258383198036	2.661664016764153	4.244349715635553	3.7619779471464234	2.7142466132438834	2.6694046305680468	5.3034917534909765	sRNA157877-Salmonella
5.441007347592613	3.6193268463145567	4.045905612207964	3.602711755811047	7.298240287169183	8.895852355867197	8.350676700454038	3.280583469638623	9.429738032675884	3.6485258632722535	3.5535730169967366	5.4059974835197	STnc3250-Salmonella
3.913496049134553	3.22713064463161	3.89997371706996	4.3318363488393405	2.9307427348539368	4.413821634460653	3.1290217342713036	4.2041430095458034	2.6580865311220934	4.032922215884213	4.175735949976157	2.8356182321402	sRNA248024-Salmonella
6.542149111215424	4.58127615331908	4.79803386182881	4.521269361111816	4.23100605179801	2.44220385881421	5.918508858848557	4.666931397937807	4.13926477693298	4.42283642661966	4.64007069813543	7.05989486379495	t44-Salmonella
4.076939027457944	4.1164436389473895	4.449522138489926	4.422459930474523	2.9489237391949636	3.8035489314145665	1.8394254267109733	3.1939736052840466	1.8381666252667401	3.853367821715697	4.50467581839622	5.852560077810249	STnc920-Salmonella
6.740043283345873	4.945063363812004	5.4097287927322135	5.04329843482833	4.414762162728703	4.3558974861366435	3.075755292732213	4.765625397876847	4.0867000736196495	2.37069626680528	5.00547875355759	6.96292771901235	sRNA289055-Salmonella
5.367849895849304	1.7450632179955334	2.63072568040988	0.9439981652631251	1.6569117767409214	0.7835246788779744	2.60966680832472	1.4519967338473514	0.8753918761846929	0.7005653677749357	1.4528880918092733	1.7660334012207834	sRNA294677-Salmonella
2.1005806181633764	2.90274991238202	2.24522765179206	2.87349787146757	2.248163857511293	4.132924187001794	1.6257279740875412	4.313251095724043	2.2071669758745864	3.9105712037947833	2.9373573599477765	2.1569366896203834	sRNA441095-Salmonella
2.6681291400877765	2.4517012097025663	2.6925456147140867	2.89196781084978	2.070052617984927	2.82274597891226	3.28558438264803	2.4031966818531734	2.659378721613977	2.82050625268839	2.3027778435767132	2.9474629899830034	sRNA458139-Salmonella
4.124845153658646	4.227341270739814	4.9342684322201205	3.7127292734032933	3.278733573634683	2.62533864371039	2.0358834535601567	4.176317765740746	2.6693330007947664	2.41817952283859	3.825339980948453	4.030507617470463	sRNA466560-Salmonella
8.228623912845267	7.8901270558269365	8.574955548142578	10.921253671361534	8.18655189028039	9.721525824210236	9.084830430159183	7.81801500698451	8.52903663005265	9.703522643601934	8.14356214195432	9.78889736583304	sRNA466762-Salmonella
7.50168493363725	5.3079068702512435	5.869274867388107	5.58819626662485	4.83087286192039	3.84687194341908	4.914292226250087	5.158533246181894	2.5677617742050667	3.1771428387345266	5.0830421693458065	7.071273103510157	sRNA501027-Salmonella
5.18310782148201	4.210706329557406	4.54908433424884	4.4247725427258935	4.5520086107894935	4.377930444416983	5.036170258228417	4.274664343217837	3.95531014273432	4.129345079129957	5.135017424741084	3.9871505813294137	sRNA507874-Salmonella
9.56344541626642	8.85782462492266	10.7865535598076	11.157844099544366	9.34098988145777	10.8538959125495	10.878004259716134	9.390840277432897	10.269627299883606	10.0702042520258	9.631218763267979	13.3356512907097	sRNA523910-Salmonella
