gene_name	Ctrl	As	Bs	Hyp	Li	Nd	Ns	Oss	Oxs	Sp	Tm	Vic
CjNC8-Campylobacter	0	0	0	0	0.018243212511432856	0.010667632036248917	0	0	0.02133088513933095	0	0.03362400846817446	0
sRNA7619-Salmonella	0	-0.05610250413435172	-0.03187060481924936	-0.035103164357186675	-0.05193309106621837	-0.007375560108902499	-0.05010115696692898	-0.028557466804631032	-0.07124494716030003	-0.033034436935922666	-0.002623880115321466	-0.04117940197550449
STnc890-Salmonella	0	0.03678167318203027	0.009630870835509588	0	0.010940426833800766	0	0	0.02196942704735449	0.04093862047340834	0.015046817185797054	0.016432255231778256	0
STnc3090-Salmonella	0	0.018132664507954758	0.018150436406945657	0.018762640964178123	0	0.015057272260526989	0	0.062306823004119403	0.023856632477421973	0.021907520706980474	0.028668486874955112	0
DapZ-Salmonella	0	0.01396128964900046	-0.030375710038747786	-0.02312229536039737	-0.05363501301617118	0.1299561157813695	-0.031151773722444036	-0.019256162771637744	0.00571305092037767	0.02300401525850225	-0.00565922580909174	0.041537442584881186
sRNA93879-Salmonella	0	-0.00737011441466668	-0.005234511954667104	-0.030117547640853996	-0.030117547640853996	-0.013962824763277575	0.02310454088019266	0.03796926332073087	-0.030117547640853996	0.021223394526448863	0.005398169224374765	-0.030117547640853996
STnc470-Salmonella	0	0.02215418696756442	0.030761876801725586	-0.024346021044350703	0.016675395507418457	0.007067309072331229	0.003963923915211782	0.03281029463079101	0.009222095072702712	0.030907309418366634	0.02687153235356844	-0.024346021044350703
SroA-Salmonella	0	-0.050756610511091885	-0.09539257304681419	-0.050536129777038905	-0.07326812972943424	-0.08832689773807463	-0.07015766375587486	-0.0867689703109104	-0.03920670110513528	-0.1348791654748197	-0.05671195544863145	-0.05122080279556509
SgrS-Salmonella	0	-0.006723660864599953	-0.06730389060654947	-0.006475385407722134	-0.07223906381587894	-0.026393633683523956	-0.071798607002679607	0.007190120741268588	-0.07733073368521559	0.015672040922452453	-0.043841396257321905	-0.025801257235660048
sRNA128997-Salmonella	0	0.03126207909953248	0.0892618218256542	0.018762640964178123	0.010940426833800766	0.1098324786919846	0.05142474454555989	0.03168610533379124	0.026821169414145675	0.08887297638367399	0.03348405077398276	0
sRNA157877-Salmonella	0	0.14932373497086146	0.11424850915787399	0.15682989418751744	0.006186414845328442	0.1675350636165004	0.07030090859635976	0.1719529183635511	0.14233720755997523	0.06881903265809489	0.06988552333976872	0.2968077126501374
tp2-Salmonella	0	0.04785518046533823	0.012053259872607185	0	0.029847731161592783	0.016154722877576556	0.03739338075846065	0.03176498525114668	0.04203039956455259	0	0	0.07505267471940476
sRNA215306-Salmonella	0	0.09388577721168945	0.011784935707409395	0	0.03824379160158376	0	0	0	0	0	0	0
STnc3250-Salmonella	0	0.10276976362865706	-0.02395509155868629	-0.025372438188907862	0.3020731072193988	0.5071101572685328	0.4342895860242883	-0.06106832332758763	0.57944380169701	-0.03611536517828572	-0.02791366295633507	0.05603568811146018
sRNA229689-Salmonella	0	0.06263778049024879	0.022458446387491036	0	0	0	0	0.014431882578389775	0.01207707947625893	0	0	0
STnc3100-Salmonella	0	0.021276131589315593	0	0	0	0	0.023753286561683785	0	0.019519232010134276	0	0	0
