gene_name	Ctrl	As	Bs	Hyp	Li	Nd	Ns	Oss	Oxs	Sp	Tm	Vic
CJJ81176_0162-Campylobacter	0	-0.03434750055551988	-0.011034716794031616	-0.014662556397371693	-0.01371986279558388	0.07550656273406242	-0.008402685685171865	-0.01800951072025811	-0.005786061517131871	-7.471461338338232e-5	0.00982213301147372	0.0027283246637746276
CJJ81176_0163-Campylobacter	0	0.041035289008500425	0.14193537031658832	0.04493062203015569	-0.036319181182797824	0.01569018831553783	-0.00881573444905166	0.05079934672726364	0.024709050409094102	0.019818595072100285	0.09675682454066538	0.06310255458341134
CJJ81176_0164-Campylobacter	0	0.014789887893087444	1.524840348347454e-4	0.016003365992406732	-0.021222585551725452	0.012459110178110576	0.003190013621938238	0.0015779404403006494	-0.04136011994789175	0.024273883990742005	0.019489364707237434	-0.0025863925487996133
CJJ81176_0165-Campylobacter	0	0.01476331263347106	0.059084340896819576	0.03042605345430571	0.047200452023049885	0.08026740918000609	0.0037503136466969485	0.0046263108302631185	0.0211348548515417	0.030827273827717012	0.04001399202831434	0.051257117528634655
CJJ81176_0166-Campylobacter	0	-0.02991418945037674	-0.03427225729486533	-0.014643212876740976	0.04003847268118336	0.00981188043416148	-0.008106528565806787	-0.01937395137110585	-0.010472526634774158	-0.03669248873180527	-0.054430566517806866	-0.038650055075380996
CJJ81176_0167-Campylobacter	0	-0.00534291792077457	-0.015131695610204892	-0.002127844460411603	-0.017036895738823776	0.021352861121235227	-0.004223476318131052	-0.022799894751276622	-0.02460031887120304	0.007379237217955715	-0.024317200339882935	-0.019296628223093235
CJJ81176_0168-Campylobacter	0	-0.014257847944222551	0.07767164334846877	-0.015158545379716063	-0.07446376031246218	0.04653080109248958	-0.04880132426476247	-0.08708926967684974	0.02540787214339808	-0.056407431567487405	0.04144021806828864	0.02769251828748997
CJJ81176_0169-Campylobacter	0	0.03354104503659743	0.1486854048767319	0.03076351965309056	-0.04911704837534821	0.07124680111319841	-0.007100041448565212	0.011207942779668797	0.13864726772190286	0.0030184086929387847	0.1160764438799843	0.09826871094036417
CJJ81176_0170-Campylobacter	0	0.02503122717192207	0.03761816942738723	0.019704251510063338	-0.023446057436698867	0.06415104300041029	-0.0026084812751097537	-0.00666894926469456	0.053429013289071736	-0.01325932420826939	0.05257197797574993	0.03346472210486643
CJJ81176_0171-Campylobacter	0	-0.003552382990941624	-0.03895850227781648	-0.004293474395690813	-0.029329360505609504	-0.03078023643642663	0.002680378836262704	-0.002193930715066237	-0.03588566328464607	0.030146928555152875	-0.03614299029239542	-0.03585089880185685
CJJ81176_0172-Campylobacter	0	-0.01936066381494718	0.03307208960287542	0.018897692883132283	-0.0038497926164217074	-0.01095292877409506	0.00370255408351176	0.020659660457214745	9.019046473632446e-4	-0.03294773693873159	-0.019408505947847147	0.012145775841939968
CJJ81176_0173-Campylobacter	0	-0.05057301455862595	-0.005829767903091269	-0.026688106881661827	-0.09947185054190281	0.019070621995797125	-0.07189787776143318	-0.06447236841054624	-0.01856510377352976	-0.05336469978688923	0.005188643262359072	0.014496903052620318
CJJ81176_0174-Campylobacter	0	-0.021764690752398463	-0.030342444148813038	-0.008474406040112535	-0.007578944685205928	0.00411711776292856	-0.017428506020446665	-0.017097403373226676	-0.002538416911384281	0.021475218337579434	-0.023177153997115906	-0.005875945118628686
CJJ81176_0175-Campylobacter	0	0.027003541142317226	0.06902626796547831	0.06604579879228069	0.019617740563960706	0.06877162625227404	0.006869874200091449	0.08194932820174265	0.05763387948395109	-0.01663985959234378	0.07703844342038373	0.07397978028177603
CJJ81176_0176-Campylobacter	0	-0.05768111825840214	0.09675082717452005	-0.017021282383898086	-0.0037835247122190315	0.05977187037327243	-0.025986065861378544	0.03854468155341192	0.044598240497375936	0.006456986171867004	0.07599134875827562	0.05274260310384785
CJJ81176_0177-Campylobacter	0	0.00844380289248666	0.09305840555094064	0.0029275344849012397	-0.020099669057251985	0.06441097131833105	-0.029524289753004404	-0.017281230924452492	0.033977431626218337	-0.019622810343397114	0.06415096049466751	0.06452778568154514
CJJ81176_0178-Campylobacter	0	0.027735475472129626	0.12816864429341332	0.018321058541576257	-0.0043988652300146975	0.08918931727904254	-4.659114467207327e-5	0.026628358194211058	0.09130214652128806	-0.04802236769333234	0.09592188066352364	0.09588629868906408
CJJ81176_0179-Campylobacter	0	-0.032609645888702764	-0.013181366171556904	-0.026106688274601664	0.059964170587008786	0.009524846407344344	0.00646483424966951	-0.04110684625833046	0.002632788055807503	-0.004959809808918802	-0.026508695295654316	-0.030160346342567642
CJJ81176_0180-Campylobacter	0	0.02815555030587647	-0.029422077371026586	-0.009305791754257517	0.01621999508759914	-0.014228943769911228	0.02749432340642822	0.00592491480144492	0.03347034970212743	-0.008627875914395084	0.006058833279929932	-0.014586847376545559
CJJ81176_0181-Campylobacter	0	-0.06044543132148583	0.05886009220646481	-0.006012205281050065	-0.03753247670311474	-0.0457536866711741	-0.06013522868849102	-0.0048698786602981645	0.013091529527407456	-0.043427693111263974	0.06393142359950327	0.038696957482371445
CJJ81176_0182-Campylobacter	0	-0.020286522725520797	-0.020970103472097046	-0.027355795587148443	0.13022640443866196	0.015609166413181292	0.04140454393421926	-0.02307462508413584	0.07379435059745117	0.05240653950791406	-0.022822748980791778	-0.034818054867917426
CJJ81176_0183-Campylobacter	0	0.013102954169351212	-0.025536660724457705	-0.010297467342982442	0.11316470811749674	0.0387815083944896	0.0585429025125297	-0.030616662004179427	0.09742966595381256	0.0967430787543593	-0.03239943824568668	-0.02389030814582551
CJJ81176_0184-Campylobacter	0	-0.06077865691811444	-0.057070989110777195	-0.052479146271491584	-0.045441467433352374	-0.0034272009698785165	-0.057911187373560206	-0.012987757948782515	0.010353127950282669	-0.07601936303156494	-0.015931882522034282	-0.024866433401408893
CJJ81176_0185-Campylobacter	0	-0.003283276750122558	-0.018111752228820076	0.012484480051398773	-0.038829593244570665	-0.001931318362137536	-0.026564294266156682	-0.027208404851099367	0.015573732614969554	0.016662058526078046	0.02515871859189951	-0.003850870970195743
CJJ81176_0186-Campylobacter	0	0.026446294867960483	-5.464995011591241e-4	0.02219551856732918	-0.029404284334563727	0.004692272530586184	0.019898731614922793	0.025557041952541906	0.033237263912050424	0.05870048165247481	0.015595575563788289	0.007701350652776573
